name,version,install_command,release_date,release_year,old_version,old_release_date,old_release_year,url
word2number,1.1,pip install word2number,2017-06-02,2017,0.1,2016-01-02,2016,https://pypi.org/project/word2number/
tflearn,0.5.0,pip install tflearn,2020-11-11,2020,0.2.1,2016-06-10,2016,https://pypi.org/project/tflearn/
asn1crypto,1.5.1,pip install asn1crypto,2022-03-15,2022,0.11.1,2015-10-20,2015,https://pypi.org/project/asn1crypto/
trackml,0.1.12,pip install trackml,2017-09-07,2017,0.1.0,2017-09-06,2017,https://pypi.org/project/trackml/
vida,0.3,pip install vida,2015-09-04,2015,0.1,2015-09-04,2015,https://pypi.org/project/vida/
vega3,0.13.0,pip install vega3,2018-05-08,2018,0.1.0,2017-10-29,2017,https://pypi.org/project/vega3/
msal,1.23.0,pip install msal,2023-07-22,2023,0.1.0,2018-12-12,2018,https://pypi.org/project/msal/
azure-common,1.1.28,pip install azure-common,2022-02-03,2022,0.20.0,2015-06-15,2015,https://pypi.org/project/azure-common/
sagemaker,2.178.0,pip install sagemaker,2023-08-17,2023,1.0.0,2017-11-30,2017,https://pypi.org/project/sagemaker/
portalocker,2.7.0,pip install portalocker,2023-01-18,2023,0.1,2011-02-23,2011,https://pypi.org/project/portalocker/
msrest,0.7.1,pip install msrest,2022-06-13,2022,0.0.1,2016-02-19,2016,https://pypi.org/project/msrest/
pycryptodomex,3.18.0,pip install pycryptodomex,2023-05-19,2023,3.4.1,2016-02-20,2016,https://pypi.org/project/pycryptodomex/
snowflake-connector-python,3.1.0,pip install snowflake-connector-python,2023-07-31,2023,1.4.5,2017-08-31,2017,https://pypi.org/project/snowflake-connector-python/
azure-identity,1.14.0,pip install azure-identity,2023-08-09,2023,1.0.0b1,2019-06-28,2019,https://pypi.org/project/azure-identity/
awswrangler,3.3.0,pip install awswrangler,2023-08-01,2023,0.0b0,2019-02-28,2019,https://pypi.org/project/awswrangler/
scramp,1.4.4,pip install scramp,2022-11-01,2022,0.0.0,2019-02-10,2019,https://pypi.org/project/scramp/
poetry-core,1.7.0,pip install poetry-core,2023-08-20,2023,1.0.0a0,2020-02-07,2020,https://pypi.org/project/poetry-core/
xmltodict,0.13.0,pip install xmltodict,2022-05-08,2022,0.2,2012-08-28,2012,https://pypi.org/project/xmltodict/
grpcio-tools,1.57.0,pip install grpcio-tools,2023-08-10,2023,0.14.0,2016-05-10,2016,https://pypi.org/project/grpcio-tools/
pg8000,1.30.1,pip install pg8000,2023-07-29,2023,1.00,2007-03-09,2007,https://pypi.org/project/pg8000/
msal-extensions,1.0.0,pip install msal-extensions,2022-02-14,2022,0.1.0,2019-07-11,2019,https://pypi.org/project/msal-extensions/
redshift-connector,2.0.913,pip install redshift-connector,2023-07-12,2023,2.0.384,2020-11-04,2020,https://pypi.org/project/redshift-connector/
adal,1.2.7,pip install adal,2021-04-05,2021,0.0.0,2015-04-28,2015,https://pypi.org/project/adal/
oscrypto,1.3.0,pip install oscrypto,2022-03-18,2022,0.11.1,2015-10-27,2015,https://pypi.org/project/oscrypto/
cfn-lint,0.79.7,pip install cfn-lint,2023-08-14,2023,0.0.5,2018-04-17,2018,https://pypi.org/project/cfn-lint/
requests-aws4auth,1.2.3,pip install requests-aws4auth,2023-05-03,2023,0.4,2015-03-07,2015,https://pypi.org/project/requests-aws4auth/
poetry-plugin-export,1.5.0,pip install poetry-plugin-export,2023-08-20,2023,1.0.0,2022-04-05,2022,https://pypi.org/project/poetry-plugin-export/
databricks-cli,0.17.7,pip install databricks-cli,2023-05-08,2023,0.1,2017-06-15,2017,https://pypi.org/project/databricks-cli/
jsonpath-ng,1.5.3,pip install jsonpath-ng,2021-07-05,2021,1.4.1,2017-03-12,2017,https://pypi.org/project/jsonpath-ng/
pkginfo,1.9.6,pip install pkginfo,2023-01-08,2023,0.1,2009-04-10,2009,https://pypi.org/project/pkginfo/
asynctest,0.13.0,pip install asynctest,2019-05-14,2019,0.2.0,2015-05-12,2015,https://pypi.org/project/asynctest/
trove-classifiers,2023.8.7,pip install trove-classifiers,2023-08-07,2023,2020.4.1,2020-04-03,2020,https://pypi.org/project/trove-classifiers/
opensearch-py,2.3.0,pip install opensearch-py,2023-07-27,2023,1.0.0,2021-09-20,2021,https://pypi.org/project/opensearch-py/
datadog,0.46.0,pip install datadog,2023-07-12,2023,0.1.1,2015-03-11,2015,https://pypi.org/project/datadog/
poetry,1.6.0,pip install poetry,2023-08-20,2023,0.1.0,2018-02-28,2018,https://pypi.org/project/poetry/
shellingham,1.5.3,pip install shellingham,2023-08-17,2023,1.0.0.dev0,2018-06-14,2018,https://pypi.org/project/shellingham/
mlflow,2.6.0,pip install mlflow,2023-08-15,2023,0.0.1,2018-06-04,2018,https://pypi.org/project/mlflow/
backports.zoneinfo,0.2.1,pip install backports.zoneinfo,2020-06-23,2020,0.1.0b0,2020-05-21,2020,https://pypi.org/project/backports.zoneinfo/
msrestazure,0.6.4,pip install msrestazure,2020-06-29,2020,0.0.1,2016-02-19,2016,https://pypi.org/project/msrestazure/
cattrs,23.1.2,pip install cattrs,2023-06-02,2023,0.5.0,2017-12-11,2017,https://pypi.org/project/cattrs/
async-lru,2.0.4,pip install async-lru,2023-07-27,2023,0.0.1,2017-04-01,2017,https://pypi.org/project/async-lru/
aenum,3.1.15,pip install aenum,2023-06-27,2023,1.0,2015-12-11,2015,https://pypi.org/project/aenum/
dulwich,0.21.5,pip install dulwich,2023-05-04,2023,0.0.1,2008-12-11,2008,https://pypi.org/project/dulwich/
retry,0.9.2,pip install retry,2016-05-11,2016,0.1.0,2013-06-23,2013,https://pypi.org/project/retry/
humanfriendly,10.0,pip install humanfriendly,2021-09-17,2021,1.4.1,2013-06-26,2013,https://pypi.org/project/humanfriendly/
crashtest,0.4.1,pip install crashtest,2022-11-02,2022,0.3.0,2020-04-02,2020,https://pypi.org/project/crashtest/
querystring-parser,1.2.4,pip install querystring-parser,2019-07-22,2019,1.0,2012-02-12,2012,https://pypi.org/project/querystring-parser/
cleo,2.0.1,pip install cleo,2022-11-22,2022,0.2.0,2014-03-24,2014,https://pypi.org/project/cleo/
google-cloud-secret-manager,2.16.3,pip install google-cloud-secret-manager,2023-08-03,2023,0.1.0,2019-12-20,2019,https://pypi.org/project/google-cloud-secret-manager/
pendulum,2.1.2,pip install pendulum,2020-07-24,2020,0.1,2016-07-04,2016,https://pypi.org/project/pendulum/
apache-airflow,2.7.0,pip install apache-airflow,2023-08-18,2023,1.8.1,2017-05-09,2017,https://pypi.org/project/apache-airflow/
great-expectations,0.17.11,pip install great-expectations,2023-08-17,2023,0.0.1111.post0.dev17,2023-08-04,2023,https://pypi.org/project/great-expectations/
tox,4.9.0,pip install tox,2023-08-16,2023,0.0.0,2018-10-07,2018,https://pypi.org/project/tox/
azure-storage-file-datalake,12.12.0,pip install azure-storage-file-datalake,2023-07-11,2023,12.0.0b5,2019-11-08,2019,https://pypi.org/project/azure-storage-file-datalake/
pytzdata,2020.1,pip install pytzdata,2020-07-13,2020,2016.7,2016-09-29,2016,https://pypi.org/project/pytzdata/
rfc3986,2.0.0,pip install rfc3986,2022-01-10,2022,0.0.0,2014-06-23,2014,https://pypi.org/project/rfc3986/
mysql-connector-python,8.1.0,pip install mysql-connector-python,2023-07-18,2023,1.0.5b1,2012-08-08,2012,https://pypi.org/project/mysql-connector-python/
azure-storage-common,2.1.0,pip install azure-storage-common,2019-08-02,2019,0.37.0,2017-10-05,2017,https://pypi.org/project/azure-storage-common/
azure-mgmt-core,1.4.0,pip install azure-mgmt-core,2023-04-06,2023,1.0.0b1,2020-03-10,2020,https://pypi.org/project/azure-mgmt-core/
azure-nspkg,3.0.2,pip install azure-nspkg,2018-10-02,2018,1.0.0rc1,2015-08-24,2015,https://pypi.org/project/azure-nspkg/
gremlinpython,3.7.0,pip install gremlinpython,2023-08-04,2023,3.2.2rc1,2016-09-11,2016,https://pypi.org/project/gremlinpython/
hvac,1.1.1,pip install hvac,2023-06-17,2023,0.0.1,2015-05-17,2015,https://pypi.org/project/hvac/
aws-sam-translator,1.73.0,pip install aws-sam-translator,2023-08-10,2023,1.5.1,2018-04-18,2018,https://pypi.org/project/aws-sam-translator/
futures,3.4.0,pip install futures,2022-10-31,2022,0.1,2009-06-04,2009,https://pypi.org/project/futures/
snowflake-sqlalchemy,1.4.7,pip install snowflake-sqlalchemy,2023-03-21,2023,1.0.7,2017-05-18,2017,https://pypi.org/project/snowflake-sqlalchemy/
PyGithub,1.59.1,pip install PyGithub,2023-08-03,2023,0.0.0,2017-04-02,2017,https://pypi.org/project/PyGithub/
installer,0.7.0,pip install installer,2023-03-17,2023,0.1.0,2018-09-21,2018,https://pypi.org/project/installer/
confluent-kafka,2.2.0,pip install confluent-kafka,2023-07-12,2023,0.9.1,2016-05-24,2016,https://pypi.org/project/confluent-kafka/
selenium,4.11.2,pip install selenium,2023-08-01,2023,0.9.2,2008-04-25,2008,https://pypi.org/project/selenium/
nodeenv,1.8.0,pip install nodeenv,2023-05-12,2023,0.3.0,2011-04-17,2011,https://pypi.org/project/nodeenv/
deepdiff,6.3.1,pip install deepdiff,2023-07-06,2023,0.1,2014-09-27,2014,https://pypi.org/project/deepdiff/
execnet,2.0.2,pip install execnet,2023-07-09,2023,1.0.0alpha,2009-10-01,2009,https://pypi.org/project/execnet/
configparser,6.0.0,pip install configparser,2023-07-08,2023,3.2.0r1,2011-04-29,2011,https://pypi.org/project/configparser/
azure-keyvault-secrets,4.7.0,pip install azure-keyvault-secrets,2023-03-16,2023,4.0.0b1,2019-06-28,2019,https://pypi.org/project/azure-keyvault-secrets/
azure-mgmt-resource,23.0.1,pip install azure-mgmt-resource,2023-05-18,2023,0.20.0rc1,2015-08-24,2015,https://pypi.org/project/azure-mgmt-resource/
slack-sdk,3.21.3,pip install slack-sdk,2023-04-28,2023,3.0.0a1,2020-08-03,2020,https://pypi.org/project/slack-sdk/
pre-commit,3.3.3,pip install pre-commit,2023-06-13,2023,0.2.0,2014-06-17,2014,https://pypi.org/project/pre-commit/
types-PyYAML,6.0.12.11,pip install types-PyYAML,2023-07-20,2023,0.1.0,2021-02-02,2021,https://pypi.org/project/types-PyYAML/
identify,2.5.26,pip install identify,2023-07-22,2023,0.0.0.dev1,2017-02-13,2017,https://pypi.org/project/identify/
pysftp,0.2.9,pip install pysftp,2016-07-06,2016,0.2.0,2009-02-08,2009,https://pypi.org/project/pysftp/
pipenv,2023.8.20,pip install pipenv,2023-08-20,2023,0.1.0,2017-01-20,2017,https://pypi.org/project/pipenv/
bs4,0.0.1,pip install bs4,2016-03-03,2016,0.0.0,2016-03-03,2016,https://pypi.org/project/bs4/
antlr4-python3-runtime,4.13.0,pip install antlr4-python3-runtime,2023-05-21,2023,4.4.0,2014-06-29,2014,https://pypi.org/project/antlr4-python3-runtime/
zeep,4.2.1,pip install zeep,2022-11-20,2022,0.0.1,2016-02-28,2016,https://pypi.org/project/zeep/
azure-graphrbac,0.61.1,pip install azure-graphrbac,2019-05-29,2019,0.30.0a1,2016-02-19,2016,https://pypi.org/project/azure-graphrbac/
watchtower,3.0.1,pip install watchtower,2023-01-29,2023,0.1.1,2015-05-31,2015,https://pypi.org/project/watchtower/
azure-datalake-store,0.0.53,pip install azure-datalake-store,2023-05-10,2023,0.0.1,2016-11-21,2016,https://pypi.org/project/azure-datalake-store/
applicationinsights,0.11.10,pip install applicationinsights,2021-04-22,2021,0.1.0,2014-11-20,2014,https://pypi.org/project/applicationinsights/
azure-keyvault,4.2.0,pip install azure-keyvault,2022-03-29,2022,0.1.0,2016-12-29,2016,https://pypi.org/project/azure-keyvault/
cfgv,3.4.0,pip install cfgv,2023-08-12,2023,0.0.1,2018-02-07,2018,https://pypi.org/project/cfgv/
typed-ast,1.5.5,pip install typed-ast,2023-07-04,2023,0.5,2016-04-28,2016,https://pypi.org/project/typed-ast/
moto,4.1.14,pip install moto,2023-07-30,2023,0.0.1,2013-02-26,2013,https://pypi.org/project/moto/
structlog,23.1.0,pip install structlog,2023-04-06,2023,0.1.0,2013-09-12,2013,https://pypi.org/project/structlog/
python-gnupg,0.5.1,pip install python-gnupg,2023-07-22,2023,0.2.3,2010-01-10,2010,https://pypi.org/project/python-gnupg/
pyathena,3.0.6,pip install pyathena,2023-07-16,2023,1.0.0,2017-05-20,2017,https://pypi.org/project/pyathena/
delta-spark,2.4.0,pip install delta-spark,2023-05-25,2023,0.0.1,2021-05-20,2021,https://pypi.org/project/delta-spark/
gsutil,5.25,pip install gsutil,2023-06-21,2023,3.28,2013-05-07,2013,https://pypi.org/project/gsutil/
azure-mgmt-storage,21.1.0,pip install azure-mgmt-storage,2023-08-21,2023,0.20.0rc1,2015-08-24,2015,https://pypi.org/project/azure-mgmt-storage/
Faker,19.3.0,pip install Faker,2023-08-07,2023,0.0.2,2010-12-23,2010,https://pypi.org/project/Faker/
argparse,1.4.0,pip install argparse,2015-09-12,2015,0.0.1,2006-08-03,2006,https://pypi.org/project/argparse/
libcst,1.0.1,pip install libcst,2023-06-07,2023,0.1,2019-08-07,2019,https://pypi.org/project/libcst/
prometheus-flask-exporter,0.22.4,pip install prometheus-flask-exporter,2023-04-28,2023,0.0.1,2017-11-24,2017,https://pypi.org/project/prometheus-flask-exporter/
uamqp,1.6.5,pip install uamqp,2023-07-12,2023,0.1.0a2,2018-03-12,2018,https://pypi.org/project/uamqp/
unittest-xml-reporting,3.2.0,pip install unittest-xml-reporting,2022-01-20,2022,1.0,2008-10-28,2008,https://pypi.org/project/unittest-xml-reporting/
gevent,23.7.0,pip install gevent,2023-07-11,2023,0.9.2,2009-07-20,2009,https://pypi.org/project/gevent/
hpack,4.0.0,pip install hpack,2020-08-30,2020,1.0.0,2015-04-13,2015,https://pypi.org/project/hpack/
enum34,1.1.10,pip install enum34,2020-03-10,2020,0.9,2013-06-16,2013,https://pypi.org/project/enum34/
simple-salesforce,1.12.4,pip install simple-salesforce,2023-05-17,2023,0.1,2013-01-22,2013,https://pypi.org/project/simple-salesforce/
pathlib2,2.3.7.post1,pip install pathlib2,2022-02-10,2022,2.0,2014-10-19,2014,https://pypi.org/project/pathlib2/
openai,0.27.8,pip install openai,2023-06-07,2023,0.0.2,2020-02-18,2020,https://pypi.org/project/openai/
azure-mgmt-keyvault,10.2.3,pip install azure-mgmt-keyvault,2023-07-26,2023,0.30.0rc5,2016-07-14,2016,https://pypi.org/project/azure-mgmt-keyvault/
zope.event,5.0,pip install zope.event,2023-06-23,2023,1.0,2006-03-02,2006,https://pypi.org/project/zope.event/
h2,4.1.0,pip install h2,2021-10-05,2021,0.1.0,2015-06-24,2015,https://pypi.org/project/h2/
trio,0.22.2,pip install trio,2023-07-12,2023,0.0.0,2017-01-14,2017,https://pypi.org/project/trio/
hyperframe,6.0.1,pip install hyperframe,2021-04-17,2021,1.0.0,2015-04-13,2015,https://pypi.org/project/hyperframe/
azure-eventhub,5.11.4,pip install azure-eventhub,2023-08-08,2023,0.2.0b1,2018-04-20,2018,https://pypi.org/project/azure-eventhub/
kombu,5.3.1,pip install kombu,2023-06-15,2023,0.1.0,2010-07-22,2010,https://pypi.org/project/kombu/
azure-cosmos,4.5.0,pip install azure-cosmos,2023-08-09,2023,3.0.0,2018-09-21,2018,https://pypi.org/project/azure-cosmos/
email-validator,2.0.0.post2,pip install email-validator,2023-04-19,2023,0.1.0-rc1,2015-04-21,2015,https://pypi.org/project/email-validator/
virtualenv-clone,0.5.7,pip install virtualenv-clone,2021-09-07,2021,0.1.2,2011-03-15,2011,https://pypi.org/project/virtualenv-clone/
avro-python3,1.10.2,pip install avro-python3,2021-03-17,2021,1.7.6,2014-01-27,2014,https://pypi.org/project/avro-python3/
azure-mgmt-containerregistry,10.1.0,pip install azure-mgmt-containerregistry,2023-02-20,2023,0.1.0,2016-11-04,2016,https://pypi.org/project/azure-mgmt-containerregistry/
constructs,10.2.69,pip install constructs,2023-07-05,2023,0.0.0,2020-03-11,2020,https://pypi.org/project/constructs/
celery,5.3.1,pip install celery,2023-06-18,2023,0.1.2,2009-04-27,2009,https://pypi.org/project/celery/
kafka-python,2.0.2,pip install kafka-python,2020-09-30,2020,0.9.0,2014-03-26,2014,https://pypi.org/project/kafka-python/
checkov,2.4.4,pip install checkov,2023-08-20,2023,0.0.0,2020-11-30,2020,https://pypi.org/project/checkov/
unicodecsv,0.14.1,pip install unicodecsv,2015-09-22,2015,0.8.0,2010-11-23,2010,https://pypi.org/project/unicodecsv/
schema,0.7.5,pip install schema,2021-12-01,2021,0.1.0,2012-08-19,2012,https://pypi.org/project/schema/
trio-websocket,0.10.3,pip install trio-websocket,2023-06-08,2023,0.0.1,2018-09-07,2018,https://pypi.org/project/trio-websocket/
python-jose,3.3.0,pip install python-jose,2021-06-05,2021,0.1.0,2015-04-22,2015,https://pypi.org/project/python-jose/
opencensus-ext-azure,1.1.9,pip install opencensus-ext-azure,2023-03-10,2023,0.1.0,2019-04-24,2019,https://pypi.org/project/opencensus-ext-azure/
wsproto,1.2.0,pip install wsproto,2022-08-23,2022,0.9.0,2016-08-24,2016,https://pypi.org/project/wsproto/
databricks-sql-connector,2.9.2,pip install databricks-sql-connector,2023-08-18,2023,0.9.0,2021-08-05,2021,https://pypi.org/project/databricks-sql-connector/
coloredlogs,15.0.1,pip install coloredlogs,2021-06-11,2021,0.1,2013-05-16,2013,https://pypi.org/project/coloredlogs/
tb-nightly,2.15.0a20230820,pip install tb-nightly,2023-08-20,2023,0.4.0a0,2017-10-07,2017,https://pypi.org/project/tb-nightly/
azure-mgmt-authorization,4.0.0,pip install azure-mgmt-authorization,2023-07-25,2023,0.30.0a1,2016-02-19,2016,https://pypi.org/project/azure-mgmt-authorization/
python-http-client,3.3.7,pip install python-http-client,2022-03-09,2022,1.0.0,2016-02-26,2016,https://pypi.org/project/python-http-client/
pyhcl,0.4.4,pip install pyhcl,2020-04-26,2020,0.1.0,2014-09-09,2014,https://pypi.org/project/pyhcl/
amqp,5.1.1,pip install amqp,2022-04-17,2022,0.0.1,2011-11-16,2011,https://pypi.org/project/amqp/
cog,0.8.6,pip install cog,2023-08-07,2023,0.0.3,2021-06-16,2021,https://pypi.org/project/cog/
avro,1.11.2,pip install avro,2023-07-03,2023,1.3.3,2010-06-09,2010,https://pypi.org/project/avro/
types-requests,2.31.0.2,pip install types-requests,2023-07-20,2023,0.1.0,2021-02-02,2021,https://pypi.org/project/types-requests/
azure-storage-queue,12.6.0,pip install azure-storage-queue,2023-02-22,2023,0.37.0,2017-10-05,2017,https://pypi.org/project/azure-storage-queue/
loguru,0.7.0,pip install loguru,2023-04-10,2023,0.1.0,2018-12-07,2018,https://pypi.org/project/loguru/
azure-keyvault-keys,4.8.0,pip install azure-keyvault-keys,2023-03-16,2023,4.0.0b1,2019-06-28,2019,https://pypi.org/project/azure-keyvault-keys/
mypy-boto3-rds,1.28.19,pip install mypy-boto3-rds,2023-08-04,2023,0.1.6,2019-11-09,2019,https://pypi.org/project/mypy-boto3-rds/
tensorboard-plugin-wit,1.8.1,pip install tensorboard-plugin-wit,2022-01-05,2022,1.6.0.post2,2020-02-13,2020,https://pypi.org/project/tensorboard-plugin-wit/
xlwt,1.3.0,pip install xlwt,2017-08-22,2017,0.7.0,2008-09-17,2008,https://pypi.org/project/xlwt/
Authlib,1.2.1,pip install Authlib,2023-06-25,2023,0.1rc0,2017-10-25,2017,https://pypi.org/project/Authlib/
pydeequ,1.1.0,pip install pydeequ,2023-07-06,2023,0.1.2,2020-11-09,2020,https://pypi.org/project/pydeequ/
makefun,1.15.1,pip install makefun,2023-02-23,2023,0.1.0,2019-01-30,2019,https://pypi.org/project/makefun/
databricks-sdk,0.6.0,pip install databricks-sdk,2023-08-17,2023,0.0.6,2023-03-24,2023,https://pypi.org/project/databricks-sdk/
outcome,1.2.0,pip install outcome,2022-06-14,2022,0.1.0a0,2018-03-24,2018,https://pypi.org/project/outcome/
billiard,4.1.0,pip install billiard,2022-12-14,2022,0.1.0,2009-11-16,2009,https://pypi.org/project/billiard/
invoke,2.2.0,pip install invoke,2023-07-12,2023,0.1,2012-02-22,2012,https://pypi.org/project/invoke/
apache-airflow-providers-common-sql,1.7.0,pip install apache-airflow-providers-common-sql,2023-08-14,2023,1.0.0a1,2022-07-05,2022,https://pypi.org/project/apache-airflow-providers-common-sql/
validators,0.21.2,pip install validators,2023-08-11,2023,0.1.0,2013-10-17,2013,https://pypi.org/project/validators/
freezegun,1.2.2,pip install freezegun,2022-08-12,2022,0.0.1,2012-12-11,2012,https://pypi.org/project/freezegun/
sendgrid,6.10.0,pip install sendgrid,2023-03-22,2023,0.1.0,2012-06-28,2012,https://pypi.org/project/sendgrid/
sshtunnel,0.4.0,pip install sshtunnel,2021-01-11,2021,0.0.1,2014-06-12,2014,https://pypi.org/project/sshtunnel/
types-urllib3,1.26.25.14,pip install types-urllib3,2023-07-20,2023,1.26.0,2022-01-08,2022,https://pypi.org/project/types-urllib3/
vine,5.0.0,pip install vine,2020-09-06,2020,0.9.0,2016-03-02,2016,https://pypi.org/project/vine/
python-magic,0.4.27,pip install python-magic,2022-06-07,2022,0.2,2010-03-31,2010,https://pypi.org/project/python-magic/
python-multipart,0.0.6,pip install python-multipart,2023-02-27,2023,0.0.1,2013-03-26,2013,https://pypi.org/project/python-multipart/
boto3-stubs,1.28.30,pip install boto3-stubs,2023-08-18,2023,0.1.8,2019-11-10,2019,https://pypi.org/project/boto3-stubs/
azure-mgmt-compute,30.1.0,pip install azure-mgmt-compute,2023-07-24,2023,0.20.0rc1,2015-08-24,2015,https://pypi.org/project/azure-mgmt-compute/
slackclient,2.9.4,pip install slackclient,2022-04-22,2022,0.13,2015-02-13,2015,https://pypi.org/project/slackclient/
azure-mgmt-nspkg,3.0.2,pip install azure-mgmt-nspkg,2018-10-02,2018,1.0.0rc1,2015-08-24,2015,https://pypi.org/project/azure-mgmt-nspkg/
DateTime,5.2,pip install DateTime,2023-07-19,2023,2.11.0b1,2008-01-06,2008,https://pypi.org/project/DateTime/
jira,3.5.2,pip install jira,2023-06-29,2023,0.1.0,2011-07-06,2011,https://pypi.org/project/jira/
knack,0.11.0,pip install knack,2023-07-26,2023,0.0.1,2017-06-16,2017,https://pypi.org/project/knack/
botocore-stubs,1.31.30,pip install botocore-stubs,2023-08-18,2023,1.20.90.post1,2021-06-09,2021,https://pypi.org/project/botocore-stubs/
azure-cli,2.51.0,pip install azure-cli,2023-08-01,2023,0.1.0b4,2016-09-20,2016,https://pypi.org/project/azure-cli/
jsondiff,2.0.0,pip install jsondiff,2022-04-10,2022,0.1.0,2015-10-19,2015,https://pypi.org/project/jsondiff/
Flask-SQLAlchemy,3.0.5,pip install Flask-SQLAlchemy,2023-06-21,2023,0.5,2010-06-02,2010,https://pypi.org/project/Flask-SQLAlchemy/
Flask-AppBuilder,4.3.5,pip install Flask-AppBuilder,2023-07-27,2023,0.1.3,2013-11-12,2013,https://pypi.org/project/Flask-AppBuilder/
pywin32,306,pip install pywin32,2023-03-25,2023,210,2007-07-09,2007,https://pypi.org/project/pywin32/
azure-mgmt-cosmosdb,9.2.0,pip install azure-mgmt-cosmosdb,2023-05-08,2023,0.2.0,2017-06-27,2017,https://pypi.org/project/azure-mgmt-cosmosdb/
readme-renderer,41.0,pip install readme-renderer,2023-08-18,2023,0.7.0,2016-01-04,2016,https://pypi.org/project/readme-renderer/
stringcase,1.2.0,pip install stringcase,2017-08-06,2017,1.0.0,2015-07-18,2015,https://pypi.org/project/stringcase/
cinemagoer,2023.5.1,pip install cinemagoer,2023-05-01,2023,2022.1.25,2022-01-25,2022,https://pypi.org/project/cinemagoer/
azure-mgmt-datalake-store,0.5.0,pip install azure-mgmt-datalake-store,2018-06-14,2018,0.1.0,2016-11-14,2016,https://pypi.org/project/azure-mgmt-datalake-store/
azure-mgmt-datalake-nspkg,3.0.1,pip install azure-mgmt-datalake-nspkg,2018-10-17,2018,1.0.0,2016-11-14,2016,https://pypi.org/project/azure-mgmt-datalake-nspkg/
azure-mgmt-datafactory,3.1.0,pip install azure-mgmt-datafactory,2023-03-20,2023,0.2.0,2017-09-22,2017,https://pypi.org/project/azure-mgmt-datafactory/
azure-mgmt-recoveryservices,2.4.0,pip install azure-mgmt-recoveryservices,2023-05-22,2023,0.1.0,2017-07-20,2017,https://pypi.org/project/azure-mgmt-recoveryservices/
smdebug-rulesconfig,1.0.1,pip install smdebug-rulesconfig,2020-12-18,2020,0.1.2,2019-12-03,2019,https://pypi.org/project/smdebug-rulesconfig/
ratelimit,2.2.1,pip install ratelimit,2018-12-17,2018,0.0.1,2015-08-26,2015,https://pypi.org/project/ratelimit/
pyotp,2.9.0,pip install pyotp,2023-07-27,2023,1.3.0,2011-09-26,2011,https://pypi.org/project/pyotp/
starkbank-ecdsa,2.2.0,pip install starkbank-ecdsa,2022-10-24,2022,0.1,2018-09-02,2018,https://pypi.org/project/starkbank-ecdsa/
azure-mgmt-containerservice,26.0.0,pip install azure-mgmt-containerservice,2023-08-21,2023,1.0.0,2017-08-08,2017,https://pypi.org/project/azure-mgmt-containerservice/
parse,1.19.1,pip install parse,2023-06-19,2023,1.0.0,2011-11-17,2011,https://pypi.org/project/parse/
azure-mgmt-sql,3.0.1,pip install azure-mgmt-sql,2021-07-16,2021,0.1.0,2016-11-02,2016,https://pypi.org/project/azure-mgmt-sql/
azure-data-tables,12.4.3,pip install azure-data-tables,2023-06-13,2023,12.0.0b1,2020-09-08,2020,https://pypi.org/project/azure-data-tables/
aws-requests-auth,0.4.3,pip install aws-requests-auth,2020-05-27,2020,0.1.0,2015-10-24,2015,https://pypi.org/project/aws-requests-auth/
APScheduler,3.10.4,pip install APScheduler,2023-08-19,2023,1.0,2009-08-01,2009,https://pypi.org/project/APScheduler/
azure-mgmt-msi,7.0.0,pip install azure-mgmt-msi,2023-02-02,2023,0.1.0,2017-12-13,2017,https://pypi.org/project/azure-mgmt-msi/
IMDbPY,2022.7.9,pip install IMDbPY,2022-07-09,2022,2.4,2006-02-09,2006,https://pypi.org/project/IMDbPY/
scp,0.14.5,pip install scp,2023-01-30,2023,0.5.1,2013-04-08,2013,https://pypi.org/project/scp/
click-repl,0.3.0,pip install click-repl,2023-06-15,2023,0.1.0,2016-09-18,2016,https://pypi.org/project/click-repl/
azure-mgmt-containerinstance,10.1.0,pip install azure-mgmt-containerinstance,2023-04-21,2023,0.1.0,2017-07-27,2017,https://pypi.org/project/azure-mgmt-containerinstance/
azure-batch,14.0.0,pip install azure-batch,2023-06-13,2023,0.30.0rc2,2016-03-31,2016,https://pypi.org/project/azure-batch/
azure-mgmt-monitor,6.0.1,pip install azure-mgmt-monitor,2023-05-04,2023,0.1.0,2017-02-16,2017,https://pypi.org/project/azure-mgmt-monitor/
pytest-metadata,3.0.0,pip install pytest-metadata,2023-05-27,2023,1.0.0,2017-02-16,2017,https://pypi.org/project/pytest-metadata/
azure-cli-core,2.51.0,pip install azure-cli-core,2023-08-01,2023,0.1.0b4,2016-09-20,2016,https://pypi.org/project/azure-cli-core/
azure-mgmt-rdbms,10.1.0,pip install azure-mgmt-rdbms,2022-03-07,2022,0.1.0,2017-05-08,2017,https://pypi.org/project/azure-mgmt-rdbms/
azure-mgmt-signalr,1.2.0,pip install azure-mgmt-signalr,2023-03-20,2023,0.1.0,2018-05-07,2018,https://pypi.org/project/azure-mgmt-signalr/
aws-psycopg2,1.3.8,pip install aws-psycopg2,2022-07-02,2022,1.0.0,2019-01-16,2019,https://pypi.org/project/aws-psycopg2/
pytimeparse,1.1.8,pip install pytimeparse,2018-05-18,2018,1.0.1,2014-04-22,2014,https://pypi.org/project/pytimeparse/
azure-servicebus,7.11.1,pip install azure-servicebus,2023-07-12,2023,0.20.0rc1,2015-08-24,2015,https://pypi.org/project/azure-servicebus/
