package_name,summary,license
openmpi,An open source Message Passing Interface implementation.,BSD 3-Clause
openpyxl,A Python library to read/write Excel 2010 xlsx/xlsm files,MIT
openssl,OpenSSL is an open-source implementation of the SSL and TLS protocols,Apache-2.0
opentracing,OpenTracing API for Python.,MIT
opentracing_instrumentation,Tracing Instrumentation using OpenTracing API (http://opentracing.io),MIT
orc,C++ libraries for Apache ORC,Apache-2.0
packaging,Core utilities for Python packages,Apache-2.0 or BSD-2-Clause
pandas,"High-performance, easy-to-use data structures and data analysis tools.",BSD-3-Clause
pandas-datareader,"Up to date remote data access for pandas, works for multiple versions of pandas",BSD-3
pandas-profiling,Generate profile report for pandas DataFrame,MIT
pandasql,Sqldf for pandas,BSD
pandocfilters,A python module for writing pandoc filters,BSD-3-Clause
panel,The powerful data exploration & web app framework for Python,BSD-3-Clause
param,Param: Make your Python code clearer and more reliable by declaring Parameters,BSD-3-Clause
paramiko,SSH2 protocol library,LGPL-2.1-or-later
parsedatetime,Parse human-readable date/time text,Apache-2.0
parsel,library to extract data from HTML and XML using XPath and CSS selectors,BSD-3-Clause
parso,A Python Parser,MIT
partd,Appendable key-value storage,BSD-3-Clause
passlib,comprehensive password hashing framework supporting over 30 schemes,BSD 3-Clause
pathlib,Object-oriented filesystem paths,MIT
pathspec,Utility library for gitignore style pattern matching of file paths.,MPL-2.0
pathtools,Path utilities for Python.,MIT
patsy,Describing statistical models in Python using symbolic formulas,BSD-2-Clause AND PSF-2.0
pcre,Regular expression pattern matching using the same syntax and semantics as Perl 5.,BSD 3-Clause
pep8,Python style guide checker,MIT
perl,The Perl programming language interpreter.,GPL-1.0-or-later OR Artistic-1.0-Perl
petl,"A Python package for extracting, transforming and loading tables of data.",MIT
pexpect,Pexpect makes Python a better tool for controlling other applications.,ISC
pickleshare,Tiny 'shelve'-like database with concurrency support,MIT
pillow,Pillow is the friendly PIL fork by Alex Clark and Contributors,LicenseRef-PIL
pip,PyPA recommended tool for installing Python packages,MIT
pivottablejs,PivotTable.js integration for Jupyter/IPython Notebook,MIT License
plac,The smartest command line arguments parser in the world,BSD-2-Clause
platformdirs,"A small Python module for determining appropriate platform-specific dirs, e.g. a ""user data dir"".",MIT
plotly,An interactive JavaScript-based visualization library for Python,MIT
pluggy,Plugin registration and hook calling for Python,MIT
ply,Python Lex-Yacc,BSD 3-clause
pomegranate,"Pomegranate is a graphical models library for Python, implemented in Cython for speed.",MIT
pooch,A friend to fetch your data files,BSD-3-Clause
portaudio,"A cross platform, open-source, audio I/O library",MIT
portend,TCP port monitoring utilities,MIT
portpicker,A library to choose unique available network ports.,Apache-2.0
posix_ipc,POSIX IPC for Python,BSD
postgresql,"PostgreSQL is a powerful, open source object-relational database system.",PostgreSQL
poyo,A lightweight YAML Parser for Python,MIT
progress,Easy progress reporting for Python,ISC
proj4,Cartographic projection software.,MIT
prometheus_client,Python client for the Prometheus monitoring system,Apache-2.0
prompt-toolkit,Library for building powerful interactive command lines in Python,BSD-3-Clause
prompt_toolkit,Library for building powerful interactive command lines in Python,BSD-3-Clause
protego,A pure-Python robots.txt parser with support for modern conventions,BSD 3-Clauses
protobuf,Protocol Buffers - Google's data interchange format.,BSD-3-Clause
psqlodbc,psqlODBC is the official PostgreSQL ODBC Driver,LGPL-2.0
psutil,A cross-platform process and system utilities module for Python,BSD-3-Clause
psycopg2,PostgreSQL database adapter for Python,LGPL-3.0-or-later
ptyprocess,Run a subprocess in a pseudo terminal,ISC
pure_eval,Safely evaluate AST nodes without side effects,MIT
py-boost,Free peer-reviewed portable C++ source libraries.,BSL-1.0
py-cpuinfo,A module for getting CPU info with Python 2 & 3,MIT
py-xgboost,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and more. Runs on single machine, Hadoop, Spark, Flink and DataFlow",Apache-2.0
py4j,Enables Python programs to dynamically access arbitrary Java objects,BSD-3-Clause
pyarrow,Python libraries for Apache Arrow,Apache-2.0
pyasn1,ASN.1 types and codecs,BSD 2-Clause
pyasn1-modules,A collection of ASN.1-based protocols modules.,BSD 2-Clause
pycodestyle,Python style guide checker,MIT
pycparser,Complete C99 parser in pure Python,BSD-3-clause
pycrypto,Cryptographic modules for Python.,Public Domain
pyct,"python package common tasks for users (e.g. copy examples, fetch data, ...)",BSD-3-Clause
pycurl,A Python Interface To The cURL library,LGPL-2.1-or-later OR MIT
pydispatcher,Multi-producer-multi-consumer signal dispatching mechanism,BSD-3-Clause
pydocstyle,Python docstring style checker (formerly pep257),MIT
pydot,Python interface to Graphviz's Dot,MIT
pydotplus,Python interface to Graphviz's Dot language,MIT
pyemd,A Python wrapper for the Earth Mover's Distance.,MIT
pyerfa,Python bindings for ERFA routines,BSD-3-Clause
pyflakes,Pyflakes analyzes programs and detects various errors.,MIT
pygments,"Pygments is a generic syntax highlighter suitable for use in code hosting, forums, wikis or other applications that need to prettify source code.",BSD-2-Clause
pygpu,Library to manipulate arrays on GPU,ISC
pyhive,Python interface to Hive,"Apache License, Version 2.0"
pyjwt,JSON Web Token implementation in Python,MIT
pykerberos,high-level interface to Kerberos,Apache-2.0
pylint,python code static checker,GPL-2.0-or-later
pylint-venv,pylint-venv provides a Pylint init-hook to use the same Pylint installation with different virtual environments.,MIT
pyls-spyder,Spyder extensions for the python-lsp-server,MIT
pymc,PyMC: Bayesian Stochastic Modelling in Python,Apache-2.0
pymongo,Python driver for MongoDB http://www.mongodb.org,Apache-2.0
pympler,"Development tool to measure, monitor and analyze the memory behavior of Python objects in a running Python application.",Apache-2
pymssql,DB-API interface to Microsoft SQL Server for Python. (new Cython-based version),LGPL-2.1-only
pymysql,Pure Python MySQL Driver,MIT
pyodbc,DB API Module for ODBC,MIT-0
pyopengl,Standard OpenGL bindings for Python,BSD-like
pyopenssl,Python wrapper module around the OpenSSL library,Apache-2.0
pyparsing,Create and execute simple grammars,MIT
pyprof2calltree,Help visualize profiling data from cProfile with qcachegrind,MIT
pyproj,Python interface to PROJ library,MIT
pyqt,Python bindings for the Qt cross platform application toolkit,GPL-3.0-only
pyqt5-sip,Python bindings for the Qt cross platform application toolkit,GPL-3.0-only
pyqtgraph,Scientific Graphics and GUI Library for Python,MIT
pyqtwebengine,Python bindings for the Qt cross platform application toolkit,GPL-3.0-only
pyquery,A jquery-like library for python,BSD 3-Clause
pyrsistent,Persistent/Functional/Immutable data structures,MIT
pysal,Library of spatial analysis functions,BSD-3-Clause
pyserial,Python serial port access library,BSD-3-Clause
pyshp,Pure Python read/write support for ESRI Shapefile format,MIT
pysmi,SNMP SMI/MIB Parser,BSD 2-Clause
pysnmp,SNMP library for Python,BSD-2-Clause
pysocks,A Python SOCKS client module. See https://github.com/Anorov/PySocks for more information.,BSD 3-Clause
pyspark,Apache Spark Python API,Apache-2.0
pytables,"Brings together Python, HDF5 and NumPy to easily handle large amounts of data.",BSD-3-Clause
pytest,Simple and powerful testing with Python.,MIT
pytest-arraydiff,pytest plugin to help with comparing array output from tests,BSD
pytest-astropy,Meta-package containing dependencies for testing Astropy,BSD-3-Clause
pytest-astropy-header,Pytest plugin to add diagnostic information to the header of the test output,BSD 3-Clause
pytest-asyncio,Pytest support for asyncio,Apache-2.0
pytest-cache,pytest plugin with mechanisms for caching across test runs,MIT
pytest-cov,Pytest plugin for measuring coverage,MIT
pytest-doctestplus,Pytest plugin with advanced doctest features.,BSD-3-Clause
pytest-mock,Thin-wrapper around the mock package for easier use with py.test,MIT
pytest-openfiles,Pytest plugin for detecting inadvertent open file handles,BSD-3-Clause
pytest-pep8,py.test plugin for efficiently checking PEP8 compliance,MIT
pytest-remotedata,Pytest plugin for controlling remote data access,BSD
pytest-runner,Invoke py.test as distutils command with dependency resolution.,MIT
pytest-timeout,This is a plugin which will terminate tests after a certain timeout.,MIT
pytest-xdist,py.test xdist plugin for distributed testing and loop-on-failing modes,MIT
python,General purpose programming language,PSF-2.0
python-blosc,A Python wrapper for the extremely fast Blosc compression library,BSD-3-Clause
python-daemon,Library to implement a well-behaved Unix daemon process.,Apache-2.0
python-dateutil,Extensions to the standard Python datetime module.,BSD-3-Clause and Apache
python-editor,"Programmatically open an editor, capture the result.",Apache 2.0
python-engineio,Engine.IO server,MIT
python-fastjsonschema,Fastest Python implementation of JSON schema,BSD-3-Clause
python-graphviz,Simple Python interface for Graphviz,MIT
python-json-logger,A python library adding a json log formatter,BSD-2-Clause
python-ldap,Python modules for implementing LDAP clients,Python Software Foundation
python-leveldb,Python bindings for leveldb database library,BSD 3-Clause
python-lmdb,Universal Python binding for the LMDB 'Lightning' Database,OLDAP-2.8
python-lsp-black,Black plugin for the Python LSP Server,MIT
python-lsp-jsonrpc,A Python 3.6+ server implementation of the JSON RPC 2.0 protocol.,MIT
python-lsp-server,An implementation of the Language Server Protocol for Python,MIT
python-memcached,Pure python memcached client,PSF 2.0
python-rapidjson,Python wrapper around rapidjson,MIT
python-slugify,A Python Slugify application that handles Unicode,MIT
python-snappy,Python library for the snappy compression library from Google,BSD-3-Clause
python-socketio,Socket.IO server,MIT
python-utils,Python Utils is a collection of small Python functions and classes which make common patterns shorter and easier.,BSD-3-Clause
python-xxhash,Python binding for xxHash,BSD-2-Clause
pytoolconfig,Python tool configuration,LGPL-3.0-or-later
pytorch,PyTorch is an optimized tensor library for deep learning using GPUs and CPUs.,BSD-3-Clause
pytorch-gpu,Metapackage for the GPU PyTorch variant,
pytz,"World timezone definitions, modern and historical.",MIT
pyviz_comms,Bidirectional notebook communication for HoloViz libraries,BSD-3-Clause
pywavelets,Discrete Wavelet Transforms in Python,MIT
pywget,Pure Python download utility,Public-Domain
pyxdg,PyXDG contains implementations of freedesktop.org standards in python.,GNU Lesser General Public v2 (LGPLv2)
pyyaml,YAML parser and emitter for Python,MIT
pyzmq,Python bindings for zeromq,BSD-3-Clause AND LGPL-3.0-or-later
qcachegrind,A profiling data visualizer,GPLv2
qdarkstyle,"A dark stylesheet for Qt applications (Qt4, Qt5, PySide, PyQt4, PyQt5, QtPy, PyQtGraph).",MIT
qgrid,Pandas DataFrame viewer for Jupyter Notebook,Apache 2.0
qstylizer,Qt stylesheet generation utility for PyQt/PySide,MIT
qt-main,Qt is a cross-platform application and UI framework.,LGPL-3.0-only
qt-webengine,Qt is a cross-platform application and UI framework.,LGPL-3.0-only
qtawesome,Iconic fonts in PyQt and PySide applications,MIT
qtconsole,Jupyter Qt Console,BSD-3-Clause
qtpy,Abstraction layer for PyQt5/PyQt4/PySide,MIT
qtwebkit,WebKit is one of the major engine to render webpages and execute JavaScript code,LGPL-2.1-only
quandl,"Source for financial, economic, and alternative datasets.",MIT
queuelib,Collection of persistent (disk-based) queues,BSD
rasterio,Rasterio reads and writes geospatial raster datasets,BSD-3-Clause
re2,"RE2 is a fast, safe, thread-friendly alternative to backtracking regular expression engines like those used in PCRE, Perl, and Python. It is a C++ library.",BSD-3-Clause
readline,library for editing command lines as they are typed in,GPL-3.0-only
redis,Advanced key-value cache and store,3-clause BSD
redis-py,Python client for Redis key-value store,MIT
regex,"Alternative regular expression module, to replace re",Apache-2.0
reportlab,The Reportlab Toolkit,BSD-3-Clause
repoze.lru,A tiny LRU cache implementation and decorator,BSD
requests,"Requests is an elegant and simple HTTP library for Python, built with ♥.",Apache-2.0
requests-file,file transport adapter for Requests,Apache
requests-ftp,An FTP transport adapter for use with the Python Requests library,Apache-2
requests-kerberos,A Kerberos authentication handler for python-requests,ISC
responses,A utility library for mocking out the `requests` Python library.,Apache 2.0
rfc3339-validator,A pure python RFC3339 validator,MIT
rfc3986-validator,Pure python rfc3986 validator,MIT
ripgrep,ripgrep recursively searches directories for a regex pattern while respecting your gitignore,MIT AND Unlicense
rope,A python refactoring library,LGPL-3.0-or-later
routes,Routing Recognition and Generation Tools,MIT
rtree,R-Tree spatial index for Python GIS,MIT
ruamel_yaml,A patched copy of ruamel.yaml.,MIT
runipy,Run IPython notebooks from the command line,BSD 2-Clause
s3fs,Convenient Filesystem interface over S3,BSD-3-Clause
sacremoses,SacreMoses,LGPL-2.1-or-later
sas7bdat,sas7bdat file reader for Python,MIT
saspy,A Python interface module to the SAS System,Apache 2.0
scandir,"scandir, a better directory iterator and faster os.walk()",BSD 3-Clause
scikit-image,Image processing in Python.,BSD-3-Clause
scikit-learn,A set of python modules for machine learning and data mining,BSD-3-Clause
scikit-learn-intelex,Intel(R) Extension for Scikit-learn is a seamless way to speed up your Scikit-learn application.,Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause AND MIT
scikit-rf,Object Oriented Microwave Engineering.,BSD-3-Clause
scipy,Scientific Library for Python,BSD-3-Clause
scons,Open Source next-generation build tool.,MIT
scrapy,A high-level Python Screen Scraping framework,BSD-3-Clause
seaborn,Statistical data visualization,BSD-3-Clause
secretstorage,Provides a way for securely storing passwords and other secrets.,BSD-3-Clause
semantic_version,A library implementing the 'SemVer' scheme.,BSD
send2trash,Python library to natively send files to Trash (or Recycle bin) on all platforms.,BSD-3-Clause
service_identity,Service identity verification for pyOpenSSL.,MIT
setuptools,"Download, build, install, upgrade, and uninstall Python packages",MIT
setuptools_scm,The blessed package to manage your versions by scm tags,MIT
sh,Python subprocess interface,MIT
shapely,Python package for manipulation and analysis of geometric objects in the Cartesian plane,BSD-3-Clause
simplejson,"Simple, fast, extensible JSON encoder/decoder for Python",MIT
sip,A Python bindings generator for C/C++ libraries,GPL-3.0-only
six,Python 2 and 3 compatibility utilities,MIT
smart_open,Python library for efficient streaming of large files,MIT
smmap2,A pure python implementation of a sliding window memory map manager,BSD 3-Clause
snakeviz,Web-based viewer for Python profiler output,BSD
snappy,A fast compressor/decompressor,BSD-3-clause AND CC-BY-3.0 AND MIT AND CC-BY AND Public Domain
sniffio,Sniff out which async library your code is running under,Apache-2.0
snowballstemmer,Snowball stemming library collection for Python,BSD-3-Clause
snuggs,Snuggs are s-expressions for NumPy,MIT
sockjs-tornado,SockJS python server implementation on top of Tornado framework,MIT
sortedcontainers,"Python Sorted Container Types: SortedList, SortedDict, and SortedSet",Apache-2.0
soupsieve,A modern CSS selector implementation for BeautifulSoup,MIT
spacy,Industrial-strength Natural Language Processing (NLP) in Python,MIT
sparkmagic,Jupyter magics and kernels for working with remote Spark clusters,BSD-3-Clause
sphinx,Sphinx is a tool that makes it easy to create intelligent and beautiful documentation,BSD-2-Clause
sphinx_rtd_theme,Sphinx theme for readthedocs.org,MIT
sphinxcontrib,Python namespace for sphinxcontrib,BSD
sphinxcontrib-applehelp,sphinxcontrib-applehelp is a sphinx extension which outputs Apple help books,BSD-2-Clause
sphinxcontrib-devhelp,sphinxcontrib-devhelp is a sphinx extension which outputs Devhelp document,BSD-2-Clause
sphinxcontrib-htmlhelp,sphinxcontrib-htmlhelp is a sphinx extension which renders HTML help files.,BSD-2-Clause
sphinxcontrib-jsmath,A sphinx extension which renders display math in HTML via JavaScript,BSD-2-Clause
sphinxcontrib-qthelp,sphinxcontrib-qthelp is a sphinx extension which outputs QtHelp document,BSD-2-Clause
sphinxcontrib-serializinghtml,"sphinxcontrib-serializinghtml is a sphinx extension which outputs ""serialized"" HTML files (json and pickle).",BSD-2-Clause
sputnik,Sputnik: a data package manager library,MIT
spyder,The Scientific Python Development Environment,MIT
spyder-kernels,Jupyter kernels for Spyder's console,MIT
sqlalchemy,Database Abstraction Library.,MIT
sqlalchemy-utils,Various utility functions for SQLAlchemy,BSD-3-Clause
sqlite,"Implements a self-contained, zero-configuration, SQL database engine",blessing
sqlparse,A non-validating SQL parser module for Python.,BSD-3-Clause
stack_data,Extract data from python stack frames and tracebacks for informative displays,MIT
statsmodels,Statistical computations and models for use with SciPy,BSD-3-Clause
streamz,"Manage streaming data, optionally with Dask and Pandas",BSD-3-Clause
stripe,Stripe python bindings,MIT
suds-jurko,Lightweight SOAP client (Jurko's fork).,LGPL-3.0
svn,Intuitive Subversion wrapper,Apache Software License V.2
swig,C/C++ parser code generator,GPL 3
sympy,Python library for symbolic mathematics,BSD-3-Clause AND MIT
tabpy-client,Python client library to manage Tableau Python Server.,MIT
tabpy-server,Web server Tableau uses to run Python scripts.,MIT
tabulate,"Pretty-print tabular data in Python, a library and a command-line utility.",MIT
tbb,High level abstract threading library,Apache-2.0
tbb4py,TBB module for Python,Apache-2.0
tblib,Traceback serialization library.,BSD 2-Clause
tempita,A small templating language,MIT
tenacity,Retry a flaky function whenever an exception occurs until it works,Apache-2.0
tensorflow,TensorFlow is a machine learning library.,Apache-2.0
tensorflow-base,"TensorFlow is a machine learning library, base package contains only tensorflow.",Apache-2.0
tensorflow-gpu,Metapackage for selecting a TensorFlow variant.,Apache 2.0
teradata,Script powerful interactions with Teradata Database,MIT
termcolor,ANSII Color formatting for output in terminal.,MIT
terminado,Terminals served by tornado websockets,BSD-2-Clause
text-unidecode,The most basic Text::Unidecode port,Artistic
textdistance,TextDistance – python library for comparing distance between two or more sequences by many algorithms.,MIT
the_silver_searcher,"A code searching tool similar to ack, with a focus on speed.",Apache-2.0
theano,Optimizing compiler for evaluating mathematical expressions on CPUs and GPUs.,BSD-3-Clause
threadpoolctl,Python helpers to control the threadpools of native libraries,BSD 3-Clause
three-merge,Simple Python library to perform a 3-way merge between strings,MIT
thrift,Python bindings for the Apache Thrift RPC system,Apache-2.0
thriftpy,Pure python implementation of Apache Thrift.,MIT
tifffile,Read and write image data from and to TIFF files.,BSD-3-Clause
tinycss2,Low-level CSS parser for Python,BSD-3-Clause
tk,A dynamic programming language with GUI support.  Bundles Tcl and Tk.,Tcl/Tk
tldextract,"Accurately separate the TLD from the registered domain andsubdomains of a URL, using the Public Suffix List.",BSD-3-Clause
tokenizers,Fast State-of-the-Art Tokenizers optimized for Research and Production,Apache-2.0
toml,Python lib for TOML.,MIT
tomlkit,Style preserving TOML library,MIT
toolz,List processing tools and functional utilities,BSD-3-Clause
torchvision,Image and video datasets and models for torch deep learning,BSD-3-Clause
tornado,"A Python web framework and asynchronous networking library, originally developed at FriendFeed.",Apache-2.0
tornado-json,A simple JSON API framework based on Tornado,MIT
tqdm,"A Fast, Extensible Progress Meter",MPL-2.0 AND MIT
traceback2,Backports of the traceback module,PSF 2.0
traitlets,Configuration system for Python applications,BSD-3-Clause
traits,traits - explicitly typed attributes for Python,BSD 3-clause
traitsui,TraitsUI - Traits-capable windowing framework,BSD-3-Clause
transaction,Transaction management for Python,ZPL 2.1
transformers,"State-of-the-art Machine Learning for JAX, PyTorch and TensorFlow",Apache-2.0
translationstring,Utility library for i18n,BSD
twisted,An asynchronous networking framework written in Python,MIT
typing,"Type Hints for Python - backport for Python
    ",None
typing-extensions,Backported and Experimental Type Hints for Python,PSF-2.0
typing_extensions,Backported and Experimental Type Hints for Python,PSF-2.0
tzdata,"The Time Zone Database (called tz, tzdb or zoneinfo)",CC-PDDC OR BSD-3-Clause
uc-micro-py,Micro subset of unicode data files for linkify-it-py projects.,MIT
ujson,Ultra fast JSON decoder and encoder written in C with Python bindings,BSD-3-Clause
unidecode,ASCII transliterations of Unicode text,GPL-2.0-or-later
unixodbc,ODBC on non MS Windows platforms,LGPL-2.1-or-later
urllib3,"HTTP library with thread-safe connection pooling, file post, and more.",MIT
utf8proc,utf8proc is a small C library that provides Unicode utility functions,MIT
uvloop,Ultra fast implementation of asyncio event loop on top of libuv.,MIT OR Apache-2.0
vcversioner,Take version numbers from version control.,ISC
venusian,A library for deferring decorator actions,BSD
virtualenv,Virtual Python Environment builder,MIT
vispy,High performance interactive 2D/3D data visualization.,BSD-3-Clause
visvis,An object oriented approach to visualization of 1D to 4D data,BSD 3-Clause
w3lib,Library of web-related functions,BSD
waitress,Production-quality pure-Python WSGI server,ZPL-2.0
watchdog,Filesystem events monitoring,Apache-2.0
wcwidth,Measures number of Terminal column cells of wide-character codes.,MIT
webencodings,Character encoding aliases for legacy web content,BSD 3-Clause
webob,WSGI request and response object,MIT
websocket-client,WebSocket client for python. hybi13 is supported.,BSD-3-Clause
webtest,helper to test WSGI applications,MIT
werkzeug,The comprehensive WSGI web application library.,BSD-3-Clause
wget,utility for non-interactive download of files from the Web,GPL-3.0-or-later
whatthepatch,What The Patch!? is a library for both parsing and applying patch files,MIT
wheel,A built-package format for Python.,MIT
whoosh,"Whoosh is a fast, featureful full-text indexing and searching library implemented in pure Python",BSD 2-Clause
widgetsnbextension,Interactive Widgets for Jupyter,BSD-3-Clause
word2vec,Python interface to Google word2vec,Apache-2.0
workerpool,Module for distributing jobs to a pool of worker threads,MIT
wrapt,"Module for decorators, wrappers and monkey patching",BSD-2-Clause
ws4py,"WebSocket client and server library for Python 2, 3, and PyPy",BSD 3-Clause
wsgiproxy2,A WSGI Proxy with various http client backends,MIT
wtforms,A flexible forms validation and rendering library for Python,BSD-3-Clause
wurlitzer,Capture C-level stdout/stderr in Python,MIT
xarray,N-D labeled arrays and datasets in Python.,Apache-2.0
xerces-c,Xerces-C++ is a validating XML parser written in a portable subset of C++.,Apache-2.0
xlutils,Utilities for working with Excel files that require both xlrd and xlwt,MIT
xxhash,Extremely fast hash algorithm,BSD-2-Clause
xyzservices,Source of XYZ tiles providers,BSD-3-Clause
xz,Data compression software with high compression ratio,LGPL-2.1-or-later and GPL-2.0-or-later
y-py,Python bindings for the Rust port of Yjs,MIT
yaml,A C library for parsing and emitting YAML,MIT
yapf,A formatter for Python files,Apache 2.0
yarl,Yet another URL library,Apache-2.0
ypy-websocket,WebSocket connector for Ypy,MIT
yt,Analysis and visualization toolkit for volumetric data,BSD-3-Clause
zeromq,A high-performance asynchronous messaging library.,LGPL-3.0-or-later
zfp,Library for compressed numerical arrays that support high throughput read and write random access,BSD-3-Clause
zict,Composable Dictionary Classes,BSD-3-Clause
zipp,A pathlib-compatible Zipfile object wrapper,MIT
zlib,Massively spiffy yet delicately unobtrusive compression library,Zlib
zlib-ng,zlib data compression library for the next generation systems,Zlib
zope,web application server,BSD
zope.deprecation,Zope Deprecation Infrastructure,ZPL 2.1
zope.interface,Interfaces for Python,ZPL-2.1
zope.sqlalchemy,Minimal Zope/SQLAlchemy transaction integration,ZPL-2.1
zstd,Zstandard - Fast real-time compression algorithm,BSD-3-Clause AND GPL-2.0-or-later
